"sexo";"nacimiento";"estatura";"peso";"grupo_rh"
"F";"1984-08-28";1.88;56.5;"A+"
"F";"1985-07-18";1.14;69.2;"O+"
"F";"1979-03-04";1.66;57.9;"A+"
"M";"1970-09-21";1.55;78.2;"A+"
"F";"1969-04-07";1.42;68.5;"O+"
"M";"1981-02-06";2.15;89.1;"AB+"
"F";"1978-10-13";1.69;70.2;"A+"
"M";"1986-03-03";1.66;65.5;"O+"
"M";"1969-03-19";1.93;79.6;"O+"
"M";"1974-07-21";1.63;68.8;"O+"
"F";"1972-04-28";1.64;79.6;"AB+"
"F";"1998-10-12";1.77;87.9;"O+"
"F";"1961-07-05";1.72;82.8;"B+"
"M";"1975-05-06";1.95;74.2;"O+"
"M";"1981-11-05";1.77;83;"B+"
"M";"1988-09-19";1.83;73;"B+"
"M";"1975-04-14";1.86;74;"A+"
"M";"1978-11-14";1.84;69.8;"A+"
"F";"1994-07-24";1.72;85.1;"B+"
"F";"1969-06-16";1.59;68.6;"AB+"
"F";"1982-05-14";1.75;79;"A+"
"F";"1986-04-05";1.5;56.2;"A+"
"F";"1983-10-16";1.59;66.6;"B+"
"F";"1972-02-22";1.79;80.9;"A+"
"F";"1974-07-15";1.53;70.4;"B+"
"F";"1984-10-25";1.71;53.4;"B+"
"F";"1986-11-16";1.8;69.2;"O+"
"F";"1982-05-04";1.59;72.6;"O+"
"F";"1990-04-07";1.86;77.3;"B+"
"M";"1979-06-09";1.45;64.9;"A+"
"F";"1972-10-08";1.33;80.8;"O+"
"F";"1986-08-08";1.49;75.9;"B+"
"F";"1981-11-09";1.69;63.3;"B+"
"M";"1969-05-17";1.72;73;"O+"
"M";"1984-05-14";1.7;68.9;"B+"
"F";"1973-04-15";1.68;48.5;"O+"
"F";"1977-02-25";1.53;75;"A+"
"F";"1975-06-26";1.42;80.9;"O+"
"M";"1978-06-19";1.59;83.6;"O+"
"F";"1983-03-18";1.59;60;"O-"
"M";"1985-10-14";1.67;88.7;"O+"
"M";"1977-11-25";1.41;79.6;"B+"
"F";"1983-11-12";1.59;84.7;"B+"
"M";"1984-04-09";1.42;48;"A+"
"F";"1982-04-12";1.72;73.1;"B+"
"F";"1988-05-19";1.61;55.9;"O+"
"F";"1978-03-10";1.29;79.8;"A+"
"F";"1972-11-09";1.64;52.1;"A-"
"M";"1971-02-24";1.95;80.1;"B+"
"M";"1985-05-17";1.55;82.1;"A+"
"M";"1978-07-19";1.43;69.1;"O+"
"F";"1988-10-13";1.91;69.8;"B+"
"M";"1991-03-26";1.64;59.4;"O+"
"F";"1972-09-21";1.7;76.8;"AB+"
"M";"1981-10-13";1.39;81.8;"B+"
"F";"1980-06-19";1.19;68.4;"O+"
"M";"1974-05-16";1.68;74.4;"B+"
"M";"1972-11-05";1.59;56;"O+"
"F";"1982-04-27";1.46;83.4;"O+"
"M";"1971-02-16";1.41;58;"O+"
"F";"1998-07-08";1.51;73.7;"A+"
"M";"1973-11-14";1.81;64.1;"O+"
"M";"1980-08-07";1.11;60.3;"A-"
"F";"1978-05-18";1.7;68.5;"A+"
"M";"1978-04-12";1.76;66.3;"A+"
"F";"1986-04-02";1.69;81.7;"A+"
"M";"1973-07-08";1.66;48.7;"A+"
"M";"1982-11-18";1.58;68.3;"A+"
"M";"1981-05-19";1.71;68.6;"O-"
"M";"1983-06-04";1.88;73.7;"B+"
"F";"1977-07-08";1.26;49.4;"B+"
"M";"1981-04-23";1.73;63.6;"O-"
"M";"1984-07-04";1.68;75.2;"B+"
"M";"1977-03-17";1.57;54.5;"AB-"
"M";"1985-02-14";1.54;69.5;"B+"
"F";"1965-04-28";1.71;90.7;"B+"
"M";"1986-06-02";1.71;65.6;"O+"
"M";"1976-08-07";1.62;64.1;"O+"
"F";"1979-11-27";1.54;70.4;"A+"
"F";"1975-08-15";1.58;66;"B+"
"M";"1969-04-26";1.36;60.5;"O+"
"M";"1982-02-19";1.64;88.7;"AB+"
"F";"1988-04-11";1.56;62.9;"B+"
"M";"1975-09-21";1.63;55.8;"O+"
"F";"1984-02-08";1.49;83.6;"O+"
"M";"1983-10-12";1.69;70.8;"A+"
"F";"1978-08-28";1.6;73.3;"O-"
"M";"1979-09-02";1.65;62.3;"A+"
"M";"1992-03-19";1.91;70.6;"B+"
"M";"1979-06-13";2.01;77.9;"B+"
"F";"1977-03-05";1.88;53.7;"A+"
"F";"1981-08-17";1.73;56.3;"O+"
"F";"1986-07-28";1.57;76.7;"A+"
"F";"1976-11-09";1.58;65.4;"A+"
"F";"1975-07-05";1.63;51.6;"B+"
"M";"1978-02-12";1.92;67.3;"A+"
"F";"1980-04-11";1.81;82.9;"A+"
"M";"1970-05-02";1.88;45.6;"A+"
"M";"1965-11-24";1.74;75.2;"A+"
"F";"1987-11-10";1.58;69.5;"A+"
"F";"1984-06-10";1.62;54;"O+"
"M";"1978-02-12";1.8;78;"B+"
"F";"1983-09-02";1.64;59.1;"B-"
"M";"1977-03-12";1.56;42;"A+"
"F";"1966-03-08";1.27;76.3;"A-"
"F";"1986-09-04";1.48;67.8;"B+"
"M";"1988-05-09";1.42;77.1;"O+"
"M";"1983-09-26";2.01;84.2;"B+"
"M";"1987-03-21";1.46;68.6;"O+"
"F";"1995-05-02";1.64;78.3;"O+"
"F";"1970-08-21";1.73;66.9;"B+"
"F";"1975-05-10";1.64;70;"A+"
"M";"1969-08-13";1.82;57.1;"A+"
"F";"1977-04-21";1.6;78.6;"A+"
"F";"1972-09-22";1.38;66.6;"O+"
"F";"1974-05-13";1.86;52;"B-"
"M";"1972-06-13";1.58;79.8;"B+"
"F";"1971-09-16";1.49;65.2;"A+"
"M";"1974-10-12";1.31;69.3;"A+"
"F";"1983-06-14";1.74;60.9;"O+"
"M";"1987-03-15";1.58;50.8;"B+"
"F";"1983-10-03";1.68;67.8;"O+"
"F";"1972-04-11";1.51;78.9;"A+"
"F";"1990-09-07";1.44;75.6;"B+"
"M";"1993-11-03";1.73;70.3;"O+"
"F";"1972-08-17";1.71;72;"A-"
"F";"1977-02-17";1.35;67.3;"B+"
"F";"1971-11-26";1.49;72.2;"O+"
"M";"1987-06-15";1.83;55.6;"B+"
"F";"1976-05-28";1.31;71.1;"B-"
"F";"1974-05-04";1.57;79.7;"B+"
"F";"1976-04-19";1.45;82.7;"A+"
"M";"1979-10-01";1.94;61.6;"A+"
"F";"1982-04-22";1.53;62.1;"A+"
"M";"1980-02-15";1.72;79.5;"B+"
"M";"1987-02-17";1.93;72.6;"A+"
"F";"1987-05-04";1.46;65.4;"A+"
"M";"1980-03-10";1.58;72.5;"A+"
"F";"1985-02-05";1.36;64.2;"O+"
"M";"1974-10-15";2.03;82.9;"B+"
"M";"1995-11-19";1.66;55.5;"B+"
"F";"1981-06-18";1.4;57.9;"B+"
"F";"1964-11-03";1.29;65.3;"A+"
"F";"1973-06-04";1.59;73.6;"O+"
"M";"1986-02-05";1.44;66.2;"A-"
"F";"1976-07-08";1.42;67.5;"A+"
"M";"1970-08-26";1.52;70.8;"O+"
"F";"1982-11-23";1.61;76.7;"A+"
"M";"1978-11-19";1.98;79.2;"A-"
"F";"1969-09-27";1.39;83;"B+"
"F";"1978-10-21";1.45;73.5;"O-"
"M";"1965-02-18";1.69;67.7;"B+"
"F";"1993-04-05";1.54;76.8;"B+"
"F";"1986-02-02";1.47;64.8;"B+"
"M";"1974-08-26";1.55;74.9;"A+"
"M";"1973-11-10";1.77;72.6;"B+"
"F";"1984-06-21";1.6;73;"O-"
"M";"1985-06-02";1.51;87.8;"A+"
"F";"1980-05-09";1.97;61.5;"A+"
"M";"1976-07-15";2.01;57.8;"A+"
"F";"1970-03-03";1.54;78.1;"O+"
"F";"1976-07-14";1.24;62.7;"B+"
"F";"1967-03-03";1.56;56.9;"B+"
"M";"1981-02-24";1.5;55.1;"O+"
"F";"1974-06-15";1.55;69.3;"B+"
"F";"1968-05-24";1.45;62.1;"B+"
"F";"1974-03-16";1.51;73;"O+"
"F";"1981-11-25";1.25;78.2;"A-"
"F";"1980-03-27";1.6;82.1;"O+"
"F";"1973-02-22";1.63;48.9;"O+"
"F";"1968-04-14";1.68;59;"O+"
"M";"1984-02-06";1.05;74.7;"O+"
"F";"1975-05-03";1.8;71.4;"B+"
"M";"1977-08-07";1.85;52.5;"A+"
"M";"1978-07-06";1.63;81.5;"O-"
"M";"1980-11-04";1.71;71.5;"O-"
"M";"1978-07-27";1.58;71.7;"A+"
"F";"1969-10-04";1.64;60.6;"O+"
"F";"1972-05-19";1.53;75.3;"O+"
"F";"1980-08-14";1.46;72.3;"A+"
"M";"1969-09-09";1.83;86.4;"A+"
"F";"1975-03-06";1.59;69;"A+"
"F";"1980-07-05";1.83;79.2;"O+"
"M";"1988-09-23";1.85;89.5;"A+"
"F";"1983-10-27";1.4;88;"O+"
"M";"1990-08-21";1.61;68.2;"O-"
"F";"1973-11-12";1.46;63.4;"O+"
"F";"1998-05-16";1.8;69.1;"AB+"
"M";"1978-05-22";1.37;75.9;"O+"
"F";"1976-03-04";1.61;66.7;"A+"
"M";"1980-10-07";1.98;69.6;"O+"
"F";"1979-10-03";1.65;52.7;"O+"
"F";"1974-05-02";1.63;62.2;"A-"
"M";"1979-09-05";1.21;81.6;"O+"
"M";"1984-09-18";1.93;61.4;"A+"
"M";"1977-08-07";1.7;71.9;"A+"
"M";"1985-11-25";1.32;55.7;"A+"
"F";"1979-09-19";1.58;75.4;"A+"
"M";"1975-07-26";1.8;63.1;"A+"
"F";"1974-07-23";1.8;73.6;"B+"
"M";"1987-03-19";1.67;68.6;"O+"
"M";"1962-02-01";1.84;69.1;"O+"
"M";"1979-03-08";1.65;71;"B+"
"F";"1996-08-07";1.63;74.1;"A+"
"F";"1977-08-27";1.5;55.4;"B+"
"F";"1988-03-21";1.57;64.9;"O+"
"M";"1981-08-14";1.49;69.3;"A+"
"F";"1967-11-20";1.57;66.8;"A+"
"F";"1986-10-19";1.59;54.1;"B+"
"F";"1977-04-05";1.58;63.8;"O+"
"M";"1977-05-05";1.41;78.1;"O+"
"M";"1985-08-04";1.47;77;"B+"
"F";"1976-03-06";1.54;76.2;"O+"
"F";"1970-08-22";1.61;60;"O+"
"M";"1988-09-19";1.95;75;"B+"
"M";"1981-05-28";1.58;71.1;"O+"
"F";"1986-08-24";1.65;66.1;"O+"
"M";"1992-11-26";1.72;84.5;"A+"
"F";"1978-07-12";1.51;73;"A+"
"F";"1972-06-01";1.37;54.4;"B+"
"M";"1983-08-19";1.54;56;"A+"
"M";"1977-06-04";1.52;70.9;"A-"
"M";"1983-09-04";1.62;72.8;"O-"
"M";"1983-11-14";1.49;72.7;"A+"
"F";"1972-05-14";1.71;69.7;"O-"
"M";"1984-10-15";1.75;51;"B+"
"M";"1984-10-24";1.75;64.9;"B-"
"M";"1982-05-13";1.74;86;"O+"
"F";"1978-02-25";1.68;59.5;"B+"
"F";"1981-06-20";1.62;82.2;"O+"
"M";"1980-07-22";1.71;73;"O+"
"F";"1981-08-18";1.44;71.5;"AB+"
"M";"1987-11-24";1.64;79.3;"A+"
"M";"1978-06-07";1.91;74.6;"A+"
"M";"1984-09-04";1.76;78.7;"A+"
"F";"1967-04-26";1.43;66.5;"A+"
"F";"1989-08-05";1.81;85.2;"A+"
"M";"1989-03-28";1.95;69.7;"O+"
"M";"1983-04-23";1.28;72.8;"O+"
"F";"1984-07-19";1.51;87.3;"A+"
"F";"1966-08-12";1.44;59.8;"A+"
"M";"1991-04-07";1.74;81.1;"O+"
"M";"1968-06-26";1.87;70.9;"AB+"
"M";"1982-09-26";1.56;73.7;"O+"
"M";"1985-02-24";1.73;58.4;"O+"
"F";"1971-09-06";1.17;70.7;"A+"
"F";"1987-07-07";1.44;61.1;"A+"
"F";"1977-10-06";1.81;68.1;"O+"
"F";"1983-09-18";1.42;73.5;"A+"
"F";"1989-07-08";1.47;69.7;"B+"
"F";"1970-09-24";1.68;64.3;"A+"
"F";"1974-11-26";1.7;66.1;"O+"
"F";"1972-05-22";1.66;68.4;"AB+"
"M";"1987-04-24";1.87;69.1;"O+"
"F";"1985-03-27";1.84;75.7;"B+"
"M";"1976-10-20";1.82;89.8;"AB+"
"M";"1978-06-02";1.83;74.7;"A+"
"M";"1987-08-06";1.97;90.1;"O+"
"M";"1980-02-01";1.7;71.5;"O+"
"M";"1981-02-24";1.64;80.6;"A+"
"F";"1981-06-05";1.65;69.3;"A+"
"M";"1984-10-19";1.75;89.4;"B+"
"M";"1976-10-09";1.7;69.8;"O+"
"M";"1982-05-12";1.48;83.7;"A+"
"F";"1966-08-25";1.41;74.3;"A+"
"F";"1985-02-13";1.57;66.5;"A+"
"F";"1986-06-14";1.38;60.4;"A+"
"F";"1979-11-25";1.67;79.4;"B+"
"M";"1987-10-06";1.78;56.7;"B+"
"M";"1986-09-13";1.9;55.3;"AB+"
"M";"1968-07-28";1.88;77;"O+"
"M";"1984-04-20";1.63;76.3;"O+"
"M";"1985-02-10";1.92;60.5;"O-"
"F";"1978-11-28";1.6;74.8;"O+"
"F";"1986-08-05";1.98;76.8;"O+"
"M";"1977-10-13";1.97;70.5;"A+"
"M";"1978-11-25";1.67;52.6;"O+"
"F";"1977-03-28";1.89;73.1;"O+"
"M";"1982-03-27";1.69;65.1;"O+"
"M";"1989-05-25";1.7;77.5;"A+"
"M";"1982-04-09";1.63;79.2;"O+"
"F";"1986-08-19";1.76;60.2;"O+"
"F";"1976-03-16";1.66;68;"O+"
"M";"1988-05-21";1.65;79.6;"O+"
"M";"1990-10-28";1.52;70.4;"A+"
"M";"1975-05-10";1.33;52.7;"A+"
"F";"1988-09-18";1.39;62.7;"B+"
"M";"1983-04-09";1.66;62;"A+"
"M";"1993-03-05";1.9;70.9;"O+"
"M";"1987-07-08";1.54;89.6;"A+"
"F";"1980-04-27";1.62;73;"B+"
"F";"1997-11-28";1.32;43.6;"O+"
"F";"1984-04-20";1.69;69.8;"AB+"
"F";"1965-05-23";1.67;53.3;"A+"
"M";"1967-04-21";1.77;61.2;"A-"
"M";"1988-09-07";1.86;41.8;"A+"
"F";"1987-05-27";1.5;82.9;"O+"
"F";"1980-05-25";1.2;60.1;"O+"
"M";"1985-10-22";1.86;63.9;"B+"
"M";"1979-11-18";1.54;65.4;"A+"
"F";"1985-08-24";1.69;72.5;"A+"
"F";"1966-08-17";1.23;54.6;"A+"
"M";"1983-06-09";1.54;69.7;"B+"
"M";"1986-07-27";1.77;74.6;"O+"
"F";"1981-06-12";1.71;84.4;"A+"
"F";"1980-09-12";1.51;67;"B+"
"M";"1979-05-17";1.67;61.5;"B+"
"M";"1983-08-19";1.53;78.2;"O+"
"F";"1977-07-27";1.39;72.1;"A+"
"M";"1974-02-04";1.47;67.4;"AB+"
"M";"1974-03-10";1.48;70;"O+"
"M";"1967-03-14";1.62;78.2;"B+"
"F";"1982-06-24";2.09;67.8;"O-"
"M";"1984-09-09";1.76;53.7;"O+"
"M";"1978-06-13";1.76;80.3;"A+"
"M";"1984-02-19";1.71;63.5;"A+"
"F";"1992-05-26";1.53;87.7;"O+"
"M";"1965-02-28";1.6;76.3;"A+"
"M";"1991-08-28";1.71;70.2;"O+"
"M";"1980-04-16";1.69;58.9;"O+"
"F";"1970-03-26";1.33;76;"O+"
"M";"1972-09-13";1.75;80.8;"O+"
"F";"1984-03-14";1.74;66.4;"O+"
"F";"1979-06-06";1.18;83.2;"A+"
"M";"1974-11-13";1.55;82.3;"A+"
"F";"1988-10-20";1.41;77.9;"B+"
"F";"1982-07-09";1.73;78.6;"O+"
"F";"1978-09-25";1.43;63;"A+"
"F";"1973-10-24";1.54;50;"O+"
"M";"1974-07-09";1.52;71.3;"O+"
"F";"1969-02-10";1.8;82.9;"O+"
"F";"1974-02-21";1.52;68.8;"A+"
"M";"1984-06-22";1.71;89.9;"O+"
"M";"1983-03-26";1.66;60;"B+"
"M";"1987-09-17";2.12;79.9;"O+"
"M";"1973-09-14";1.43;56.7;"A+"
"M";"1982-08-01";1.66;66.7;"A+"
"F";"1981-11-06";1.71;79.5;"A+"
"M";"1981-11-04";1.8;50.5;"B+"
"M";"1972-08-06";1.62;70.5;"A-"
"M";"1972-03-26";1.57;65.4;"A+"
"M";"1975-03-15";1.58;64.8;"A+"
"F";"1984-05-04";1.24;61.5;"AB+"
"F";"1982-02-10";1.51;59.9;"O+"
"F";"1988-05-27";1.41;67.9;"A+"
"F";"1982-08-13";1.66;83.9;"O+"
"M";"1977-06-21";1.46;69.3;"O+"
"M";"1966-09-27";1.61;79.9;"O-"
"F";"1974-11-24";1.68;65.1;"O+"
"M";"1967-11-25";1.88;82.2;"A+"
"M";"1979-09-17";1.69;69;"O+"
"M";"1996-04-09";1.56;49.5;"A+"
"F";"1986-07-10";1.33;79;"O+"
"F";"1988-10-12";1.74;47.1;"O+"
"F";"1978-10-26";1.48;78.9;"B+"
"M";"1975-03-23";1.73;82.2;"B+"
"M";"1981-02-21";1.77;69.8;"B+"
"F";"1982-11-26";1.84;62;"O+"
"M";"1975-06-02";1.61;74.5;"O+"
"F";"1978-04-24";1.46;81.7;"O+"
"F";"1977-07-04";1.62;82.1;"O+"
"F";"1989-09-06";1.59;81.1;"A+"
"M";"1982-04-16";1.66;69.8;"A+"
"M";"1985-06-20";1.48;72.1;"A+"
"F";"1978-08-27";1.61;53;"O+"
"F";"1980-10-15";1.46;66.2;"B+"
"M";"1988-08-03";1.75;76.6;"A+"
"F";"1994-11-24";1.28;51.9;"A+"
"F";"1982-07-15";1.59;85.3;"O+"
"F";"1984-02-15";1.98;79.3;"A+"
"F";"1985-04-18";1.61;80.9;"O+"
"F";"1982-02-15";1.51;58;"A+"
"F";"1973-09-01";1.35;70.9;"B+"
"M";"1980-06-22";1.69;64.7;"A+"
"F";"2000-05-18";1.74;65.4;"A+"
"F";"1981-04-15";1.6;78.7;"B+"
"M";"1991-05-03";1.64;81.5;"A-"
"F";"1980-07-03";1.55;48;"O+"
"F";"1980-07-10";1.45;62.6;"B+"
"F";"1987-09-22";1.59;64.7;"B+"
"M";"1975-05-14";1.81;62.1;"B+"
"F";"1991-08-24";1.51;55.1;"O+"
"M";"1966-04-22";1.68;74.9;"O+"
"F";"1972-02-03";1.67;46.1;"O+"
"F";"1988-02-06";1.89;54.1;"A+"
"M";"1979-03-25";1.64;60.8;"A-"
"M";"1980-04-25";1.5;71.5;"A+"
"M";"1987-03-24";1.77;85.6;"O-"
"F";"1977-10-08";1.57;63.9;"O+"
"M";"1960-06-13";1.71;72.1;"A-"
"M";"1983-11-28";1.46;65.8;"A+"
"F";"1982-05-23";1.45;76.1;"O+"
"F";"1978-05-02";1.6;62;"O+"
"F";"1976-07-02";1.27;65.3;"A+"
"M";"1977-06-20";1.52;70.3;"O+"
"M";"1981-06-24";1.83;80.2;"A+"
"F";"1985-02-11";1.64;63.3;"A+"
"M";"1992-07-22";1.54;88.7;"B-"
"F";"1975-05-11";1.49;84.2;"A+"
"F";"1974-04-28";1.79;44.4;"A+"
"F";"1982-05-22";1.56;65.4;"B+"
"M";"1988-09-27";1.79;63.6;"O+"
"M";"1985-05-04";1.51;71;"A-"
"M";"1979-02-25";1.67;60.7;"A+"
"F";"1987-10-23";1.6;66.9;"A-"
"F";"1975-06-12";1.69;58.1;"O+"
"F";"1976-10-20";1.48;58.5;"B+"
"F";"1981-09-06";1.54;55.1;"A+"
"M";"1973-08-07";1.59;80.9;"O+"
"M";"1977-02-21";1.92;75.7;"A+"
"F";"1974-07-11";1.75;69.2;"B-"
"F";"1971-02-14";1.3;66.4;"B+"
"F";"1985-06-27";1.6;67.3;"A+"
"F";"1983-06-24";1.7;60.2;"O+"
"M";"1973-11-24";1.8;75.2;"AB+"
"F";"1969-04-12";1.82;56.2;"B+"
"F";"1974-03-07";1.54;88.4;"A+"
"M";"1979-03-19";1.45;81.8;"B+"
"F";"1976-04-09";1.34;71.6;"AB+"
"M";"1965-10-01";1.88;63.5;"AB+"
"M";"1976-02-25";1.76;63.8;"B+"
"M";"1974-10-02";1.71;64;"O+"
"M";"1991-05-17";1.63;73.7;"AB+"
"F";"1979-10-16";1.62;86.2;"B+"
"M";"1982-04-26";2.05;71.8;"O+"
"F";"1975-10-03";1.15;86.3;"B+"
"M";"1985-07-16";1.68;81.3;"AB+"
"F";"1984-03-26";1.34;61.3;"A+"
"M";"1977-10-17";1.77;70.1;"O+"
"F";"1976-05-20";1.56;84;"O+"
"F";"1992-09-22";1.57;80.5;"AB+"
"F";"1973-06-15";1.55;62.5;"O+"
"F";"1987-03-14";1.44;72.1;"O+"
"F";"1975-11-24";1.26;64.6;"B+"
"F";"1975-11-11";1.44;74.9;"O+"
"M";"1979-04-02";1.43;85.2;"O+"
"F";"1972-09-01";1.52;69.9;"A+"
"F";"1974-05-14";1.42;89.7;"B+"
"M";"1978-07-17";1.73;62.3;"O+"
"F";"1982-08-16";1.74;71.3;"B+"
"F";"1980-04-04";1.58;65.9;"B+"
"M";"1984-05-12";1.18;88.9;"A+"
"M";"1975-10-10";1.53;68.4;"B+"
"F";"1977-11-27";1.47;55.8;"O+"
"F";"1981-11-15";1.69;83.2;"A-"
"M";"1975-08-05";1.56;82.5;"AB+"
"M";"1978-08-01";1.99;67.7;"O+"
"F";"1985-08-23";1.53;80.6;"AB+"
"M";"1976-09-04";1.7;78.7;"A+"
"F";"1981-08-12";1.68;76.9;"A+"
"M";"1987-09-20";1.67;80.3;"O+"
"F";"1974-08-21";1.5;73.2;"O-"
"M";"1973-03-17";1.72;67.8;"A-"
"M";"1979-04-06";1.82;67.6;"B+"
"M";"1973-08-01";1.73;67.9;"A+"
"M";"1974-09-21";1.69;62.1;"AB+"
"M";"1981-02-04";1.92;63.4;"A+"
"M";"1979-06-28";1.69;76.9;"O-"
"F";"1988-03-11";1.59;61.7;"A+"
"F";"1990-09-04";1.56;89.6;"B+"
"M";"1977-11-18";1.69;69.2;"A+"
"M";"1969-09-15";1.79;73.7;"O+"
"F";"1981-11-20";1.51;72.4;"O+"
"F";"1973-10-26";1.69;83.9;"A-"
"M";"1980-07-15";1.56;91.9;"O+"
"F";"1988-02-18";1.46;62.9;"O+"
"M";"1985-07-11";1.76;57.9;"A+"
"F";"1979-11-01";1.8;69.7;"B+"
"F";"1974-10-08";1.48;61.1;"A+"
"M";"1985-10-02";1.35;67.7;"B-"
"F";"1970-08-28";1.59;67;"O+"
"M";"1972-04-20";1.47;60.4;"A+"
"M";"1975-03-20";1.82;81.8;"O+"
"M";"1986-03-22";1.89;54.1;"A+"
"M";"1971-02-12";1.65;67;"AB+"
"M";"1987-11-17";1.61;70.2;"O+"
"M";"1980-05-20";1.85;63.5;"B-"
"M";"1986-10-15";1.82;78.2;"O+"
"M";"1982-03-20";1.54;67.6;"B+"
"F";"1976-05-23";1.77;57.5;"B+"
"F";"1988-04-07";1.46;77.1;"B+"
"M";"1984-10-14";1.76;38.6;"O+"
"M";"1986-07-18";1.68;80;"B+"
"F";"1982-06-26";1.43;71.7;"B+"
"F";"1983-10-17";1.44;54.8;"A+"
"F";"1975-04-22";1.34;52.5;"B+"
"M";"1981-10-28";1.77;88.8;"B+"
"F";"1980-05-14";1.68;65.9;"O+"
"M";"1988-03-26";1.57;77.4;"A+"
"F";"1977-03-22";1.52;71.1;"A+"
"F";"1977-06-18";1.61;67.1;"AB+"
"M";"1985-03-24";1.73;79;"O+"
"F";"1981-08-17";1.39;80.8;"B+"
"M";"1976-05-04";1.85;63.7;"B+"
"F";"1980-10-09";1.78;65.9;"O+"
"F";"1975-04-26";1.59;60.5;"O+"
"M";"1987-08-25";1.59;67.3;"B+"
"F";"1978-09-13";1.6;57.6;"B+"
"M";"1985-06-26";1.65;62.4;"O+"
"M";"1979-07-22";1.93;66.3;"A+"
"M";"1979-07-23";1.6;94.6;"A+"
"F";"1975-07-04";1.5;75.9;"B+"
"M";"1973-08-17";1.73;85.1;"B+"
"M";"1992-11-27";1.82;62.6;"A+"
"F";"1978-10-02";1.77;62.5;"O+"
"F";"1975-11-06";1.31;78.8;"B+"
"F";"1981-09-06";1.52;63.8;"O+"
"F";"1963-03-25";1.76;57.8;"O+"
"M";"1981-09-14";1.36;58.3;"O+"
"F";"1981-10-22";1.29;86.7;"AB+"
"F";"1975-11-23";1.65;72.1;"O+"
"F";"1973-05-18";1.7;56.6;"A+"
"F";"1981-11-28";1.96;80.6;"AB+"
"M";"1984-07-14";1.41;63.9;"B+"
"M";"1973-04-07";1.46;69.3;"A-"
"F";"1985-03-16";1.56;50;"A+"
"M";"1975-06-22";1.82;69.1;"A+"
"M";"1984-02-18";1.85;61.2;"O+"
"M";"1961-02-19";1.78;63.3;"A-"
"M";"1977-08-21";1.62;82.1;"O+"
"F";"1980-06-12";1.28;66.3;"A-"
"F";"1976-07-21";1.78;58.2;"B+"
"M";"1979-07-22";1.63;61.9;"A+"
"F";"1988-02-06";1.58;68.9;"O+"
"M";"1976-06-13";1.86;73.7;"B+"
"M";"1980-08-28";1.8;67.5;"O+"
"M";"1972-02-09";1.49;76.8;"O+"
"F";"1971-10-17";1.52;76;"O+"
"M";"1973-04-03";1.45;81.5;"A+"
"M";"1977-03-18";1.53;81.9;"B+"
"M";"1988-04-27";1.82;63.4;"O+"
"F";"1980-10-02";1.46;76.7;"A+"
"M";"1983-02-13";1.71;83.1;"O+"
"F";"1984-06-28";1.44;51.3;"B+"
"M";"1965-09-15";1.95;78.7;"O+"
"M";"1978-04-21";1.78;73;"O+"
"M";"1980-10-21";1.62;70.4;"O+"
"F";"1976-07-22";1.5;75.2;"A+"
"M";"1982-02-16";1.6;66.3;"A+"
"F";"1983-10-19";1.73;74.4;"A+"
"F";"1992-05-06";1.63;68.6;"A+"
"M";"1985-05-25";1.63;62;"O+"
"M";"1979-08-19";1.71;67;"O+"
"M";"1989-03-26";1.56;59.9;"A-"
"M";"1976-03-16";1.92;73.8;"B+"
"F";"1992-02-21";1.43;79.2;"A+"
"F";"1987-08-17";1.39;57;"O+"
"F";"1976-04-11";1.95;65.2;"A+"
"F";"1977-09-13";1.61;58;"O+"
"F";"1983-02-27";1.68;95.3;"O+"
"M";"1971-02-03";1.87;81.1;"O+"
"M";"1991-06-26";1.49;65.3;"A+"
"M";"1984-04-24";1.9;74.8;"O+"
"F";"1975-04-03";1.86;59.8;"O+"
"F";"1983-06-05";1.22;65.2;"A+"
"F";"1990-11-08";1.64;58.5;"A+"
"M";"1978-03-16";1.76;60.3;"O+"
"F";"1986-02-18";1.66;78.6;"B+"
"M";"1979-11-25";1.43;94.3;"A-"
"F";"1973-05-03";2.12;87.2;"A+"
"M";"1982-02-17";1.34;64.4;"AB+"
"M";"1964-03-01";1.62;69.2;"O+"
"F";"1980-03-26";1.53;84.4;"B+"
"M";"1983-03-15";1.42;62.3;"O+"
"M";"1976-06-07";1.99;62.5;"O+"
"F";"1990-06-15";1.45;75.7;"B+"
"M";"1978-07-16";1.82;53.7;"O+"
"F";"1976-06-12";1.84;53.9;"B+"
"M";"1972-04-03";1.88;72;"B+"
"F";"1985-07-08";1.5;69.9;"O+"
"M";"1986-09-11";1.56;73.2;"A+"
"F";"1981-10-27";1.26;67.3;"B+"
"F";"1985-08-13";1.65;55.4;"O+"
"M";"1976-08-12";1.92;71.2;"A+"
"M";"1981-02-24";1.76;86.5;"AB+"
"F";"1969-07-05";1.91;66.2;"O+"
"M";"1975-03-23";1.44;87.8;"O-"
"F";"1981-11-18";1.74;73.4;"O+"
"F";"1984-10-17";1.87;63.5;"O+"
"M";"1984-11-28";1.62;85.8;"AB+"
"M";"1974-11-18";2.04;71.2;"O+"
"F";"1985-03-05";1.57;77.5;"O+"
"M";"1978-04-22";1.68;70.6;"O+"
"F";"1983-11-04";1.45;62.9;"A+"
"F";"1987-10-24";1.67;69.5;"A+"
"M";"1985-09-23";1.71;72;"O+"
